id,Speciality,Vacancy,Date,Date (Квартал),AvgSalary,salary_to,salary_from,salary_currency,employer_name,Year,area_name,Country
192,Аналитик,Data analyst / Аналитик данных,05/04/20,2,"","","","",IQnergy,2020,Москва,Russian Federation
193,Аналитик,Data analyst / Аналитик данных,17/04/20,2,"","","","",Strategy Partners Group,2020,Москва,Russian Federation
194,Аналитик,Data analyst / Аналитик данных,11/05/20,2,"","","","",IQnergy,2020,Москва,Russian Federation
195,Аналитик,Data analyst / Аналитик данных,18/05/20,2,"","","","",Strategy Partners Group,2020,Москва,Russian Federation
196,Аналитик,Data analyst / Аналитик данных,23/06/20,2,"","","","",Strategy Partners Group,2020,Москва,Russian Federation
197,Аналитик,Data analyst / Аналитик данных (Новостной мониторинг),10/09/20,3,"","","","",Сбербанк,2020,Москва,Russian Federation
198,Аналитик,Data Analyst / Аналитик по данным,03/09/20,3,"","","","",Worldskills Russia,2020,Москва,Russian Federation
199,Аналитик,Data analyst / Продуктовый аналитик,23/10/20,4,200000,"",200000,RUR,Payment Systems,2020,Москва,Russian Federation
200,Аналитик,Data Analyst / Продуктовый аналитик,06/06/21,2,155000,180000,130000,RUR,Photo Lab,2021,Москва,Russian Federation
201,Аналитик,Data Analyst / Специалист по работе с данными,01/10/20,4,100000,"",100000,RUR,Перфект Системс,2020,Москва,Russian Federation
202,Аналитик,Data Analyst [Remote],04/12/20,4,"","","","",Cloud Linux,2020,Владивосток,Russian Federation
203,Аналитик,Data Analyst [Remote],04/12/20,4,"","","","",Cloud Linux,2020,Ростов-на-Дону,Russian Federation
204,Аналитик,Data Analyst [Remote],04/11/20,4,"","","","",Cloud Linux,2020,Киев,Ukraine
205,Аналитик,Data Analyst [Remote],04/12/20,4,"","","","",Cloud Linux,2020,Екатеринбург,Russian Federation
206,Аналитик,Data Analyst [Remote],04/11/20,4,"","","","",Cloud Linux,2020,Москва,Russian Federation
207,Аналитик,Data Analyst [Remote],04/11/20,4,"","","","",Cloud Linux,2020,Санкт-Петербург,Russian Federation
208,Аналитик,Data Analyst [Remote],04/12/20,4,"","","","",Cloud Linux,2020,Москва,Russian Federation
209,Аналитик,Data Analyst [Remote],04/12/20,4,"","","","",Cloud Linux,2020,Киев,Ukraine
210,Аналитик,Data Analyst [Remote],04/12/20,4,"","","","",Cloud Linux,2020,Екатеринбург,Russian Federation
211,Аналитик,Data Analyst [Remote],04/12/20,4,"","","","",Cloud Linux,2020,Санкт-Петербург,Russian Federation
212,Аналитик,Data Analyst [Remote],04/12/20,4,"","","","",Cloud Linux,2020,Минск,Belarus
213,Аналитик,Data analyst | Аналитик данных,24/03/20,1,100000,100000,"",RUR,НТС,2020,Москва,Russian Federation
214,Аналитик,Data Analyst to Equity Research,08/12/20,4,"","","","",ВТБ Капитал,2020,Москва,Russian Federation
215,Аналитик,Data Analyst with BI Experience,26/08/20,3,"","","","",Grid Dynamics,2020,Санкт-Петербург,Russian Federation
216,Аналитик,Data analyst в B2B,08/10/21,4,155000,180000,130000,RUR,Skyeng,2021,Санкт-Петербург,Russian Federation
217,Аналитик,Data Analyst в C1,17/09/21,3,155000,180000,130000,RUR,Skyeng,2021,Санкт-Петербург,Russian Federation
